"dataset","threshold","hx","status","time","lowerTime","upperTime","sampleIndex","selectedForFit"
"single",0.6,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.00001,"Crossed","9451459687.440014",9440584059.71755,"9451459687.440014","21951",true
"single",0.6,0.000031622776601683795,"Crossed","942873401.0681157",941788453.29935,"942873401.0681157","19949",true
"single",0.6,0.0001,"Crossed","93844286.50176239",93736301.53884394,"93844286.50176239","17945",true
"single",0.6,0.00031622776601683794,"Crossed","9437620.151955169",9426760.449141722,"9437620.151955169","15950",true
"single",0.6,0.001,"Crossed","938246.4362348005",937166.812632743,"938246.4362348005","13945",true
"single",0.6,0.0031622776601683794,"Crossed","93922.89914731357",93814.82372621221,"93922.89914731357","11946",true
"single",0.6,0.01,"Crossed","9358.924953664802",9348.155804026046,"9358.924953664802","9943",true
"single",0.6,0.03162277660168379,"Crossed","941.1971898969423",940.1141709147674,"941.1971898969423","7948",true
"single",0.6,0.1,"Crossed","95.30932970741141",95.19965894515298,"95.30932970741141","5959",true
"single",0.6,0.31622776601683794,"Crossed","10.03670088415425",10.025151829723754,"10.03670088415425","4004",true
"single",0.6,1,"Crossed","1.5295153623119069",1.5277553760001177,"1.5295153623119069","2370",true
"single",1.4,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000031622776601683795,"Crossed","9429720946.387772",9418870333.050669,"9429720946.387772","21949",true
"single",1.4,0.0001,"Crossed","937461132.169438",936382412.2029016,"937461132.169438","19944",true
"single",1.4,0.00031622776601683794,"Crossed","90971891.15243159",90867211.40410687,"90971891.15243159","17918",true
"single",1.4,0.001,"Crossed","9383446.454862751",9372649.088765705,"9383446.454862751","15945",true
"single",1.4,0.0031622776601683794,"Crossed","940409.4160765626",939327.3035718076,"940409.4160765626","13947",true
"single",1.4,0.01,"Crossed","98123.34692342664",98010.43812126145,"98123.34692342664","11984",true
"single",1.4,0.03162277660168379,"Crossed","10513.038633638742",10500.941465773394,"10513.038633638742","10044",true
"single",1.4,0.1,"Crossed","1140.7340825426572",1139.421459982507,"1140.7340825426572","8115",true
"single",1.4,0.31622776601683794,"Crossed","52.25448249885235",52.194354188804766,"52.25448249885235","5437",true
"single",1.4,1,"Crossed","2.91787440132122",2.9145168547856413,"2.91787440132122","2931",true
"ensemble",0.6,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,0.00001,"Crossed","6706441077.961016",6698724094.667554,"6706441077.961016","21653",true
"ensemble",0.6,0.000031622776601683795,"Crossed","672119819.5582862",671346423.1534832,"672119819.5582862","19655",true
"ensemble",0.6,0.0001,"Crossed","67282368.03180961",67204947.39931463,"67282368.03180961","17656",true
"ensemble",0.6,0.00031622776601683794,"Crossed","6696621.004412066",6688915.3209038135,"6696621.004412066","15652",true
"ensemble",0.6,0.001,"Crossed","671908.8049496732",671135.6513556519,"671908.8049496732","13655",true
"ensemble",0.6,0.0031622776601683794,"Crossed","67338.72996013852",67261.24447296839,"67338.72996013852","11657",true
"ensemble",0.6,0.01,"Crossed","6702.230712930627",6694.518574429865,"6702.230712930627","9653",true
"ensemble",0.6,0.03162277660168379,"Crossed","676.354056077527",675.5757874115495,"676.354056077527","7661",true
"ensemble",0.6,0.1,"Crossed","69.52310942021374",69.44311040618125,"69.52310942021374","5685",true
"ensemble",0.6,0.31622776601683794,"Crossed","8.02761567146872",8.018378435906259,"8.02761567146872","3810",true
"ensemble",0.6,1,"Crossed","1.3460194035717887",1.3444705628186586,"1.3460194035717887","2259",true
"ensemble",1.4,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
