"dataset","threshold","hx","status","time","lowerTime","upperTime","sampleIndex","selectedForFit"
"single",0.6,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.000031622776601683795,"Crossed","1453656953.5986793",1451984256.2179163,"1453656953.5986793","20325",true
"single",0.6,0.0001,"Crossed","144183749.23796582",144017839.54441547,"144183749.23796582","18318",true
"single",0.6,0.00031622776601683794,"Crossed","14550269.573594198",14533526.835395306,"14550269.573594198","16326",true
"single",0.6,0.001,"Crossed","1458228.6560999383",1456550.6981418624,"1458228.6560999383","14328",true
"single",0.6,0.0031622776601683794,"Crossed","144970.64066705285",144803.82551143438,"144970.64066705285","12323",true
"single",0.6,0.01,"Crossed","14596.029684766863",14579.234291216299,"14596.029684766863","10329",true
"single",0.6,0.03162277660168379,"Crossed","1462.8147364526667",1461.1315013729309,"1462.8147364526667","8331",true
"single",0.6,0.1,"Crossed","157.9957456878677",157.81394277396228,"157.9957456878677","6398",true
"single",0.6,0.31622776601683794,"Crossed","14.709520884457675",14.692594898588213,"14.709520884457675","4336",true
"single",0.6,1,"Crossed","1.698462300616499",1.6965079100468907,"1.698462300616499","2461",true
"single",1.4,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000031622776601683795,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.0001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00031622776601683794,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.0031622776601683794,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.01,"Crossed","141551980.70385134",141389099.3398692,"141551980.70385134","18302",true
"single",1.4,0.03162277660168379,"Crossed","967871.1331145396",966757.4208970435,"967871.1331145396","13972",true
"single",1.4,0.1,"Crossed","9710.166842377714",9698.993524901553,"9710.166842377714","9975",true
"single",1.4,0.31622776601683794,"Crossed","166.39735390613774",166.20588341005205,"166.39735390613774","6443",true
"single",1.4,1,"Crossed","4.276358829445741",4.271438098873449,"4.276358829445741","3263",true
"ensemble",0.6,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,0.00001,"Crossed","8184573351.53614",8175155507.543556,"8184573351.53614","21826",true
"ensemble",0.6,0.000031622776601683795,"Crossed","822149277.696422",821203245.0440899,"822149277.696422","19830",true
"ensemble",0.6,0.0001,"Crossed","81078359.01796098",80985063.58231492,"81078359.01796098","17818",true
"ensemble",0.6,0.00031622776601683794,"Crossed","8182003.773177998",8172588.885953811,"8182003.773177998","15826",true
"ensemble",0.6,0.001,"Crossed","814355.6763599376",813418.611667006,"814355.6763599376","13822",true
"ensemble",0.6,0.0031622776601683794,"Crossed","81802.91169137628",81708.78252576695,"81802.91169137628","11826",true
"ensemble",0.6,0.01,"Crossed","8151.23168536432",8141.852207038073,"8151.23168536432","9823",true
"ensemble",0.6,0.03162277660168379,"Crossed","820.6876861380192",819.7433353132757,"820.6876861380192","7829",true
"ensemble",0.6,0.1,"Crossed","83.58586173630927",83.48968096157502,"83.58586173630927","5845",true
"ensemble",0.6,0.31622776601683794,"Crossed","8.761698397824425",8.751616466234744,"8.761698397824425","3886",true
