"dataset","threshold","hx","status","time","lowerTime","upperTime","sampleIndex","selectedForFit"
"single",0.6,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",0.6,0.000031622776601683795,"Crossed","1370757942.421176",1369180635.468341,"1370757942.421176","20274",true
"single",0.6,0.0001,"Crossed","137219343.4574192",137061447.58258972,"137219343.4574192","18275",true
"single",0.6,0.00031622776601683794,"Crossed","13736304.300106637",13720498.177371018,"13736304.300106637","16276",true
"single",0.6,0.001,"Crossed","1375068.9303048535",1373486.662774411,"1375068.9303048535","14277",true
"single",0.6,0.0031622776601683794,"Crossed","137650.8937032686",137492.50125119364,"137650.8937032686","12278",true
"single",0.6,0.01,"Crossed","13763.648685254408",13747.81109781775,"13763.648685254408","10278",true
"single",0.6,0.03162277660168379,"Crossed","1384.1661867603234",1382.5734511775597,"1384.1661867603234","8283",true
"single",0.6,0.1,"Crossed","141.1377421719538",140.97533746493352,"141.1377421719538","6300",true
"single",0.6,0.31622776601683794,"Crossed","14.358135578985385",14.341613925980454,"14.358135578985385","4315",true
"single",0.6,1,"Crossed","1.8283417070523464",1.826237866543794,"1.8283417070523464","2525",true
"single",1.4,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000031622776601683795,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.0001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00031622776601683794,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.001,"Crossed","1388228707.2476346",1386631296.9942977,"1388228707.2476346","20285",true
"single",1.4,0.0031622776601683794,"Crossed","139288619.00188696",139128342.04823726,"139288619.00188696","18288",true
"single",1.4,0.01,"Crossed","14007811.520901902",13991692.979602909,"14007811.520901902","16293",true
"single",1.4,0.03162277660168379,"Crossed","1438220.1056593722",1436565.1711868742,"1438220.1056593722","14316",true
"single",1.4,0.1,"Crossed","302896.74358655367",302548.2056537328,"302896.74358655367","12963",true
"single",1.4,0.31622776601683794,"Crossed","3355.101891874854",3351.2412353885843,"3355.101891874854","9052",true
"single",1.4,1,"Crossed","14.144830722991841",14.128554516117125,"14.144830722991841","4302",true
"ensemble",0.6,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",0.6,0.00001,"Crossed","8570318350.704405",8560456636.754641,"8570318350.704405","21866",true
"ensemble",0.6,0.000031622776601683795,"Crossed","857929340.3381871",856942136.1997515,"857929340.3381871","19867",true
"ensemble",0.6,0.0001,"Crossed","84704369.45758477",84606901.63577192,"84704369.45758477","17856",true
"ensemble",0.6,0.00031622776601683794,"Crossed","8567627.66621652",8557769.04838987,"8567627.66621652","15866",true
"ensemble",0.6,0.001,"Crossed","845891.9226706469",844918.5697761026,"845891.9226706469","13855",true
"ensemble",0.6,0.0031622776601683794,"Crossed","85559.77791595695",85461.32579073966,"85559.77791595695","11865",true
"ensemble",0.6,0.01,"Crossed","8447.41716893058",8437.696875199896,"8447.41716893058","9854",true
"ensemble",0.6,0.03162277660168379,"Crossed","857.3907244536803",856.4041400910295,"857.3907244536803","7867",true
"ensemble",0.6,0.1,"Crossed","87.62615512782796",87.52532525885138,"87.62615512782796","5886",true
"ensemble",0.6,0.31622776601683794,"Crossed","9.751926361756297",9.740704992338783,"9.751926361756297","3979",true
"ensemble",0.6,1,"Crossed","1.5561597720840719",1.5543691265205746,"1.5561597720840719","2385",true
