"dataset","threshold","hx","status","time","lowerTime","upperTime","sampleIndex","selectedForFit"
"single",0.6,1e-8,"Crossed","235736059.31387392",235464801.99419507,"235736059.31387392","18745",true
"single",0.6,1.5848931924611143e-8,"Crossed","148736284.3728719",148565136.1575532,"148736284.3728719","18345",true
"single",0.6,2.511886431509582e-8,"Crossed","93952395.86421527",93844286.50176239,"93952395.86421527","17946",true
"single",0.6,3.981071705534969e-8,"Crossed","59347002.82344962",59278713.27553875,"59347002.82344962","17547",true
"single",0.6,6.30957344480193e-8,"Crossed","37401556.557238854",37358519.24672707,"37401556.557238854","17146",true
"single",0.6,1e-7,"Crossed","23571138.66501111",23544015.772083163,"23571138.66501111","16745",true
"single",0.6,1.584893192461114e-7,"Crossed","14889204.474636927",14872071.730033997,"14889204.474636927","16346",true
"single",0.6,2.5118864315095823e-7,"Crossed","9415913.242396507",9405078.517340483,"9415913.242396507","15948",true
"single",0.6,3.981071705534969e-7,"Crossed","5934079.143326071",5927250.903268695,"5934079.143326071","15547",true
"single",0.6,6.30957344480193e-7,"Crossed","3731162.5931419344",3726869.2102490338,"3731162.5931419344","15144",true
"single",0.6,0.000001,"Crossed","2362300.5528779314",2359582.2953567347,"2362300.5528779314","14747",true
"single",0.6,0.000001584893192461114,"Crossed","1493915.749243296",1492196.7267774704,"1493915.749243296","14349",true
"single",0.6,0.0000025118864315095823,"Crossed","938246.4362348005",937166.812632743,"938246.4362348005","13945",true
"single",0.6,0.000003981071705534969,"Crossed","592663.054391851",591981.0874832897,"592663.054391851","13546",true
"single",0.6,0.00000630957344480193,"Crossed","373937.2790564554",373506.9960342479,"373937.2790564554","13146",true
"single",0.6,0.00001,"Crossed","236477.44133618218",236205.33092130616,"236477.44133618218","12748",true
"single",0.6,0.00001584893192461114,"Crossed","149032.36854198168",148860.87962783928,"149032.36854198168","12347",true
"single",0.6,0.000025118864315095822,"Crossed","93922.89914731357",93814.82372621221,"93922.89914731357","11946",true
"single",0.6,0.000039810717055349695,"Crossed","59465.1428462036",59396.717356655245,"59465.1428462036","11549",true
"single",0.6,0.00006309573444801929,"Crossed","37389.814194361395",37346.79039557909,"37389.814194361395","11146",true
"single",0.6,0.0001,"Crossed","23563.73841515205",23536.624037560858,"23563.73841515205","10745",true
"single",0.6,0.00015848931924611142,"Crossed","14884.5299514889",14867.40258577719,"14884.5299514889","10346",true
"single",0.6,0.00025118864315095795,"Crossed","9391.306896640262",9380.5004856717,"9391.306896640262","9946",true
"single",0.6,0.00039810717055349735,"Crossed","5932.21611630103",5925.390019995945,"5932.21611630103","9547",true
"single",0.6,0.000630957344480193,"Crossed","3742.8969747079936",3738.5900892694876,"3742.8969747079936","9147",true
"single",0.6,0.001,"Crossed","2361.5588995118405",2358.8414953980678,"2361.5588995118405","8747",true
"single",0.6,0.001584893192461114,"Crossed","1488.2972103258899",1486.5846530135616,"1488.2972103258899","8346",true
"single",0.6,0.0025118864315095794,"Crossed","940.1141709147674",939.0323981434061,"940.1141709147674","7947",true
"single",0.6,0.003981071705534973,"Crossed","593.1595237280532",592.4769855409963,"593.1595237280532","7547",true
"single",0.6,0.00630957344480193,"Crossed","374.6816630447709",374.2505234730572,"374.6816630447709","7148",true
"single",0.6,0.01,"Crossed","236.40319833176972",236.1311733470068,"236.40319833176972","6748",true
"single",0.6,0.015848931924611134,"Crossed","149.15721182440714",148.98557925530446,"149.15721182440714","6348",true
"single",0.6,0.025118864315095794,"Crossed","94.21828352386427",94.10986820917825,"94.21828352386427","5949",true
"single",0.6,0.039810717055349734,"Crossed","59.30974423242616",59.241497557317956,"59.30974423242616","5547",true
