"dataset","threshold","hx","status","time","lowerTime","upperTime","sampleIndex","selectedForFit"
"single",0.6,1e-8,"Crossed","235736059.31387392",235464801.99419507,"235736059.31387392","18745",true
"single",0.6,3.162277660168379e-8,"Crossed","74542386.21368766",74456611.6065038,"74542386.21368766","17745",true
"single",0.6,1e-7,"Crossed","23571138.66501111",23544015.772083163,"23571138.66501111","16745",true
"single",0.6,3.162277660168379e-7,"Crossed","7462044.887315944",7453458.444065214,"7462044.887315944","15746",true
"single",0.6,0.000001,"Crossed","2362300.5528779314",2359582.2953567347,"2362300.5528779314","14747",true
"single",0.6,0.000003162277660168379,"Crossed","748707.9915996314",747846.4665380272,"748707.9915996314","13749",true
"single",0.6,0.00001,"Crossed","236477.44133618218",236205.33092130616,"236477.44133618218","12748",true
"single",0.6,0.000031622776601683795,"Crossed","74690.77515979213",74604.82980406896,"74690.77515979213","11747",true
"single",0.6,0.0001,"Crossed","23563.73841515205",23536.624037560858,"23563.73841515205","10745",true
"single",0.6,0.00031622776601683794,"Crossed","7468.295785603712",7459.702149554708,"7468.295785603712","9747",true
"single",0.6,0.001,"Crossed","2361.5588995118405",2358.8414953980678,"2361.5588995118405","8747",true
"single",0.6,0.0031622776601683794,"Crossed","746.7514137045863",745.8921400426055,"746.7514137045863","7747",true
"single",0.6,0.01,"Crossed","236.40319833176972",236.1311733470068,"236.40319833176972","6748",true
"single",0.6,0.03162277660168379,"Crossed","74.75334305446553",74.66732570297101,"74.75334305446553","5748",true
"single",0.6,0.1,"Crossed","23.637845584374386",23.610645932972538,"23.637845584374386","4748",true
"single",0.6,0.31622776601683794,"Crossed","7.5437162559470785",7.535035834895008,"7.5437162559470785","3756",true
"single",0.6,1,"Crossed","2.655001252001975",2.6519461889562264,"2.655001252001975","2849",true
"single",1.4,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.000031622776601683795,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"single",1.4,0.0001,"Crossed","7079346696.111043",7071200616.909357,"7079346696.111043","21700",true
"single",1.4,0.00031622776601683794,"Crossed","728531430.7416523",727693122.4922514,"728531430.7416523","19725",true
"single",1.4,0.001,"Crossed","74370935.69864541",74285358.3765406,"74370935.69864541","17743",true
"single",1.4,0.0031622776601683794,"Crossed","34864889.281393014",34824770.86911081,"34864889.281393014","17085",true
"single",1.4,0.01,"Crossed","731664.551201253",730822.6377254762,"731664.551201253","13729",true
"single",1.4,0.03162277660168379,"Crossed","345380.0080791845",344982.58540428884,"345380.0080791845","13077",true
"single",1.4,0.1,"Crossed","21195.423666066665",21171.034466426063,"21195.423666066665","10653",true
"single",1.4,0.31622776601683794,"Crossed","1496.8896355764118",1495.1671911121148,"1496.8896355764118","8351",true
"single",1.4,1,"Crossed","30.733574433552267",30.698209852294575,"30.733574433552267","4976",true
"ensemble",0.6,1e-8,"Crossed","185106319.78577113",184893321.2131019,"185106319.78577113","18535",true
"ensemble",0.6,3.162277660168379e-8,"Crossed","58532694.65955329",58465342.12166373,"58532694.65955329","17535",true
"ensemble",0.6,1e-7,"Crossed","18572734.821627934",18551363.503716428,"18572734.821627934","16538",true
"ensemble",0.6,3.162277660168379e-7,"Crossed","5852656.849668023",5845922.300805808,"5852656.849668023","15535",true
"ensemble",0.6,0.000001,"Crossed","1854942.1876477045",1852807.7384359748,"1854942.1876477045","14537",true
"ensemble",0.6,0.000003162277660168379,"Crossed","588583.00580577",587905.7337370525,"588583.00580577","13540",true
"ensemble",0.6,0.00001,"Crossed","185261.3819429779",185048.20494302284,"185261.3819429779","12536",true
"ensemble",0.6,0.000031622776601683795,"Crossed","58716.77802662182",58649.213667252974,"58716.77802662182","11538",true
"ensemble",0.6,0.0001,"Crossed","18545.539231622246",18524.19920719577,"18545.539231622246","10537",true
"ensemble",0.6,0.00031622776601683794,"Crossed","5871.063259717118",5864.307530923969,"5871.063259717118","9538",true
"ensemble",0.6,0.001,"Crossed","1856.4960586200432",1854.359821396426,"1856.4960586200432","8538",true
"ensemble",0.6,0.0031622776601683794,"Crossed","587.0448781091512",586.3693759368047,"587.0448781091512","7538",true
"ensemble",0.6,0.01,"Crossed","185.63017535859973",185.41657399457546,"185.63017535859973","6538",true
"ensemble",0.6,0.03162277660168379,"Crossed","58.76596462530503",58.698343667786034,"58.76596462530503","5539",true
"ensemble",0.6,0.1,"Crossed","18.711270509277075",18.689739780796707,"18.711270509277075","4545",true
"ensemble",0.6,0.31622776601683794,"Crossed","6.145840699762163",6.1387687894221,"6.145840699762163","3578",true
"ensemble",0.6,1,"Crossed","2.288557340413725",2.2859239379045913,"2.288557340413725","2720",true
"ensemble",1.4,1e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,3.162277660168379e-8,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,1e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,3.162277660168379e-7,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.000001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.000003162277660168379,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.00001,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.000031622776601683795,"NotReached","Missing[""NotReached""]",1e+10,"Missing[""BeyondTMax""]","Missing[""NotReached""]",false
"ensemble",1.4,0.0001,"Crossed","1682537748.4338906",1680601681.9652078,"1682537748.4338906","20452",true
"ensemble",1.4,0.00031622776601683794,"Crossed","169792906.18290392",169597528.48478872,"169792906.18290392","18460",true
"ensemble",1.4,0.001,"Crossed","16841234.61649946",16821855.70529074,"16841234.61649946","16453",true
"ensemble",1.4,0.0031622776601683794,"Crossed","1693669.1739618557",1691720.2987584306,"1693669.1739618557","14458",true
"ensemble",1.4,0.01,"Crossed","168377.09518339083",168183.3466339855,"168377.09518339083","12453",true
"ensemble",1.4,0.03162277660168379,"Crossed","16972.18337189256",16952.653780263936,"16972.18337189256","10460",true
"ensemble",1.4,0.1,"Crossed","1656.501301518124",1654.5951947290253,"1656.501301518124","8439",true
"ensemble",1.4,0.31622776601683794,"Crossed","173.638992265132",173.43918894369472,"173.638992265132","6480",true
"ensemble",1.4,1,"Crossed","13.338180655170566",13.322832646281135,"13.338180655170566","4251",true
